name,league,team_clean,position,Role_Label,Minutes Played,Goals,Goals_p90,Duels won %,Shots,Shots_p90,Assists,Assists_p90,Dribbles successful %,Dribbles successful %,Dribbles successful %_p90,Key Passes,Passes total p90,passes_accuracy_perc,passes_accuracy_perc,PC1,PC2,PC3,PC4,PC5,PC6,PC7
o. diakité,ligue 1,reims,Attacker,Disruptive Presser,1589.0,5.0,0.2831969792322215,36.63,30.0,1.6991818753933292,1.0,0.0566393958464443,42.37,42.37,42.37,0.8495909376966646,17.10509754562618,78.4,78.4,-1.5322883534600815,0.0624378352045762,0.9751663057283688,0.7480098048901668,0.8192843724256419,0.2445456453932983,-0.3891195697757985
s. nicholson,ligue 1,clermont foot,Attacker,Disruptive Presser,1487.0,4.0,0.242098184263618,42.65,30.0,1.8157363819771355,3.0,0.1815736381977135,32.0,32.0,32.0,1.089441829186281,22.93880295897781,70.5,70.5,-0.745984189657335,-0.068256314350441,0.4925783099675171,-0.6628606825249325,-0.7975418977761031,0.7710891951803994,-0.3725563398910747
e. nuamah,ligue 1,lyon,Attacker,Off-Ball Disruptor,1846.0,3.0,0.1462621885157096,39.1,27.0,1.3163596966413869,2.0,0.0975081256771397,44.74,44.74,44.74,1.4138678223185264,29.7887323943662,77.3,77.3,0.0791143717375069,-1.1749411975204844,1.3512602395925606,0.3279769579255159,0.2595207320879352,-0.2833744769561708,-0.1186400359005003
mousa tamari,ligue 1,montpellier,Attacker,Off-Ball Disruptor,1943.0,5.0,0.2316006176016469,48.08,35.0,1.6212043232115287,2.0,0.0926402470406587,41.9,41.9,41.9,0.9264024704065876,23.53062274832733,72.7,72.7,-0.527754637693385,-0.5525267298366019,-0.1888619975708028,0.678379060068452,-0.7733540603056428,0.4226564445224199,0.105333420573618
a. kalimuendo,ligue 1,rennes,Attacker,Disruptive Presser,2152.0,10.0,0.4182156133828996,34.21,41.0,1.7146840148698883,1.0,0.0418215613382899,40.48,40.48,40.48,1.171003717472119,20.32527881040892,80.7,80.7,-1.1290703523436192,0.5598774875521949,1.7105818454771122,0.5913965577570778,0.9313679136784896,-0.157781566449507,0.0243182526575075
m. guilavogui,ligue 1,lens,Attacker,Creative Technician,554.0,2.0,0.3249097472924188,48.0,20.0,3.249097472924188,0.0,0.0,50.0,50.0,50.0,2.274368231046932,34.765342960288805,74.8,74.8,1.711534772550405,1.184111663335438,0.0584759494528979,0.8829235026835793,-1.303601411328384,-2.344245339336606,-1.0347240366282804
m. satriano,ligue 1,brest,Attacker,Off-Ball Disruptor,1870.0,4.0,0.1925133689839572,50.19,48.0,2.3101604278074865,4.0,0.1925133689839572,46.67,46.67,46.67,1.0106951871657754,21.128342245989305,71.3,71.3,0.1007668628722479,0.0613603513443142,-1.119174678244866,0.4025670140032252,-0.6862925081817461,0.7328616802909004,-0.9027485482345426
a. gouiri,ligue 1,rennes,Attacker,Pure Finisher,2075.0,7.0,0.3036144578313253,43.51,56.0,2.4289156626506023,3.0,0.1301204819277108,53.49,53.49,53.49,0.9108433734939758,32.53012048192771,81.8,81.8,0.9466039070194256,0.5994260113694019,0.6188064553080221,1.647306593858278,0.2046957586007619,0.0044441845444653,-0.6290491000618995
f. magri,ligue 1,toulouse,Attacker,Disruptive Presser,1433.0,5.0,0.314026517794836,39.41,30.0,1.884159106769016,2.0,0.1256106071179344,39.39,39.39,39.39,0.8792742498255408,19.5324494068388,69.4,69.4,-1.3556546323364176,0.2790590430036868,0.1412050862531083,-0.3320803672071638,0.0408390803688097,0.3014756367906037,-0.2385962176092558
gonçalo ramos,ligue 1,paris sg,Attacker,Pure Finisher,1419.0,11.0,0.6976744186046512,51.2,36.0,2.2832980972515857,1.0,0.0634249471458773,42.11,42.11,42.11,1.014799154334038,24.862579281183933,76.6,76.6,0.1446236409773218,1.823336037635305,-0.218655189205001,1.291422095883007,-0.978196781214786,0.2166578819340361,1.1203120066043166
r. kolo muani,ligue 1,paris sg,Attacker,Off-Ball Disruptor,1264.0,6.0,0.4272151898734177,40.31,17.0,1.2104430379746836,5.0,0.3560126582278481,41.18,41.18,41.18,1.85126582278481,24.8496835443038,72.1,72.1,0.9730578273738414,-0.1818823514327197,0.591455974732271,-1.8220763544713408,0.6596613494517806,1.1730659326433297,0.5478647833424469
t. moffi,ligue 1,nice,Attacker,Pure Finisher,1960.0,11.0,0.5051020408163265,34.03,43.0,1.974489795918368,2.0,0.0918367346938775,59.38,59.38,59.37,1.010204081632653,17.127551020408163,70.8,70.8,-1.0663879007089485,0.9548087237531891,-0.3556956299234673,0.1462646383361791,2.075548443068761,-0.649389358212209,0.1508501099488884
e. guessand,ligue 1,nice,Attacker,Disruptive Presser,1542.0,6.0,0.3501945525291828,44.09,38.0,2.217898832684825,0.0,0.0,40.0,40.0,40.0,0.8754863813229572,16.459143968871594,74.1,74.1,-1.537136300419224,0.7126592763193723,-0.0544727893251102,0.9952471093587868,-0.4443214372963552,-0.1280470558669675,-0.32686971618055
mostafa mohamed,ligue 1,nantes,Attacker,Disruptive Presser,2015.0,8.0,0.3573200992555831,45.57,49.0,2.1885856079404467,2.0,0.0893300248138957,45.45,45.45,45.45,1.0272952853598016,15.67741935483871,64.5,64.5,-1.2682754103572835,0.5522744339906813,-1.357669572185219,-0.1708227660533128,-0.3238576054816989,-0.1627083843678209,-0.1764063936897866
f. balogun,ligue 1,monaco,Attacker,Pure Finisher,1696.0,7.0,0.3714622641509434,31.55,44.0,2.3349056603773586,5.0,0.2653301886792453,28.21,28.21,28.21,1.3797169811320755,18.62617924528302,72.1,72.1,-0.9811839918157252,1.3143294687283091,1.4326063018045518,-1.8385102709267889,0.3722183328034003,0.7999793316121832,-1.131584624704501
c. sabaly,ligue 1,metz,Attacker,Off-Ball Disruptor,1382.0,3.0,0.195369030390738,46.02,17.0,1.1070911722141823,1.0,0.065123010130246,47.06,47.06,47.06,0.5861070911722142,23.50940665701881,78.4,78.4,-0.7280945383458248,-1.1947408357482667,0.3138173333117149,1.5618527166953329,0.0579274062508935,0.730729717609725,0.4277887223520196
m. bamba,ligue 1,lorient,Attacker,Pure Finisher,1149.0,8.0,0.6266318537859008,38.75,30.0,2.349869451697128,3.0,0.2349869451697128,39.29,39.29,39.29,1.0966057441253263,19.738903394255875,72.3,72.3,-0.4206893061313904,2.009623797186248,0.2663661836335914,-0.7609454827194155,0.4327263906194018,0.7999568073657685,0.0960300522756968
e. kroupi,ligue 1,lorient,Attacker,Off-Ball Disruptor,1076.0,5.0,0.4182156133828996,37.23,19.0,1.5892193308550189,3.0,0.2509293680297397,66.67,66.67,66.67,0.9200743494423792,21.41263940520446,77.4,77.4,0.4375449880797589,0.1772709864522777,-0.3083832538654522,0.5101274944023361,2.6243174252533152,0.6589925646774532,0.1073255028453963
m. bayo,ligue 1,le havre,Attacker,Disruptive Presser,1394.0,5.0,0.3228120516499282,42.33,34.0,2.1951219512195124,1.0,0.0645624103299856,44.74,44.74,44.74,0.8393113342898134,19.562410329985653,64.8,64.8,-1.463007888545079,0.4778662061255946,-0.8020136500629381,-0.0722566002408668,-0.2664420205783259,-0.4083899726591854,-0.2430530680527728
a. joujou,ligue 1,le havre,Attacker,Off-Ball Disruptor,766.0,0.0,0.0,36.2,12.0,1.4099216710182767,2.0,0.2349869451697128,38.0,38.0,38.0,1.0574412532637076,28.198433420365536,70.8,70.8,-0.4754298988931084,-1.380197947833211,1.1189315851518211,-0.9949121527070616,0.1092007509540374,0.6764791824771784,-0.908417614474329
j. david,ligue 1,lille,Attacker,Pure Finisher,2640.0,19.0,0.6477272727272727,40.41,65.0,2.215909090909091,4.0,0.1363636363636363,44.12,44.12,44.12,1.0909090909090908,22.125,82.0,82.0,0.0017293445077151,1.864497548317653,0.9338455916108656,0.8396383075788764,0.6619179354794065,0.5064835074040942,0.3749452749540591
t. dallinga,ligue 1,toulouse,Attacker,Pure Finisher,2517.0,14.0,0.5005959475566151,54.26,64.0,2.2884386174016687,2.0,0.0715137067938021,58.82,58.82,58.82,0.6436233611442193,21.56138259833135,67.0,67.0,-0.1682747220062213,0.8768160368173442,-2.3841254865793577,1.366598669363872,-0.4802718977425115,-0.1012861646554126,0.6900763032777292
vítinha,ligue 1,marseille,Attacker,Pure Finisher,921.0,3.0,0.2931596091205212,43.23,26.0,2.54071661237785,2.0,0.1954397394136807,50.0,50.0,50.0,1.758957654723127,18.76221498371336,73.3,73.3,0.4743731075256703,0.7171784058840328,-0.5406727566498063,-0.2624147304255277,0.3973119294351557,-0.1172624817070701,-1.198303654677302
m. terrier,ligue 1,rennes,Attacker,Off-Ball Disruptor,1533.0,7.0,0.410958904109589,49.46,26.0,1.5264187866927592,3.0,0.1761252446183953,47.06,47.06,47.06,0.9393346379647748,28.82583170254403,79.5,79.5,0.802962212962695,-0.0470046927018674,0.2085541502287073,1.147472905055307,-0.2785052814310641,1.0371287891014012,0.7621664546340935
a. nordin,ligue 1,montpellier,Attacker,Creative Technician,1253.0,5.0,0.3591380686352753,58.9,24.0,1.7238627294493216,3.0,0.2154828411811652,69.39,69.39,69.39,1.5083798882681565,25.067837190742218,77.9,77.9,2.3742323495704087,-0.4721553003451825,-2.091000318091418,1.6805670177590069,0.3042899323964771,0.5866607505906002,0.4951728533571608
e. wahi,ligue 1,lens,Attacker,Pure Finisher,1700.0,9.0,0.4764705882352941,33.56,50.0,2.647058823529412,3.0,0.1588235294117647,45.95,45.95,45.95,0.8470588235294116,14.98235294117647,72.5,72.5,-1.356606933006607,1.8883991983159647,0.129773567350666,-0.2464579812135085,1.2580096543958894,0.184846606598831,-0.8953613977031805
kylian mbappé,ligue 1,paris sg,Attacker,Pure Finisher,2159.0,27.0,1.125521074571561,45.98,91.0,3.793422880963409,7.0,0.2918017600741084,49.59,49.59,49.59,1.667438628994905,38.80963408985642,83.0,83.0,3.2915033638479083,5.038107189824635,0.6339428183700935,0.5365080569176145,-0.1445788254951535,0.0682243803284519,0.6980020195176827
i. sarr,ligue 1,marseille,Attacker,Off-Ball Disruptor,1448.0,3.0,0.18646408839779,47.69,20.0,1.2430939226519335,4.0,0.2486187845303867,35.9,35.9,35.9,1.2430939226519335,27.34806629834254,75.8,75.8,0.5110193482347832,-1.0509606150021666,0.6120196833572569,-0.2117465264124607,-0.7994179588473274,1.458587431145335,0.094903263946727
a. adams,ligue 1,montpellier,Attacker,Disruptive Presser,2264.0,8.0,0.3180212014134275,38.49,57.0,2.265901060070671,1.0,0.0397526501766784,34.15,34.15,34.15,0.715547703180212,14.86749116607774,64.9,64.9,-2.543456271759717,0.7951301550106049,-0.170957231829346,-0.4382494012705887,-0.445118814301975,-0.1869894401323842,-0.5545441564790288
i. ndiaye,ligue 1,marseille,Attacker,Off-Ball Disruptor,1624.0,3.0,0.1662561576354679,44.75,24.0,1.3300492610837438,3.0,0.1662561576354679,59.46,59.46,59.46,1.2192118226600983,30.036945812807883,82.7,82.7,1.2540503993273373,-1.235706496390122,0.4560514931723404,1.4550770381275142,0.9546310326581832,0.3731249997415642,-0.0660506306744159
joselu,la liga,real madrid,Attacker,Pure Finisher,1674.0,10.0,0.5376344086021506,50.75,48.0,2.5806451612903225,2.0,0.1075268817204301,46.15,46.15,46.15,0.6451612903225806,18.655913978494624,72.2,72.2,-0.5310694138068486,1.66316190977496,-1.2462482886362332,1.091445575083918,-0.658404107198561,0.5713310504547218,0.1202224375731105
josé arnáiz,la liga,osasuna,Attacker,Off-Ball Disruptor,921.0,2.0,0.1954397394136807,41.86,20.0,1.954397394136808,1.0,0.0977198697068403,38.46,38.46,38.46,1.3680781758957654,26.38436482084691,73.3,73.3,-0.3024589772275105,-0.241353607265482,0.7281255194322621,0.00787108082354,-0.594111722327605,-0.2455471261635749,-0.5614492177446687
adri embarba,la liga,almeria,Attacker,Off-Ball Disruptor,2485.0,3.0,0.1086519114688128,45.11,45.0,1.6297786720321932,2.0,0.0724346076458752,41.82,41.82,41.82,1.919517102615694,26.511066398390344,65.6,65.6,-0.0708505287868222,-1.2063179894730116,-0.1628692387677383,-0.7332949748827562,-0.9472478028599433,-1.0667735735384771,-0.2617266904056226
carles pérez,la liga,celta vigo,Attacker,Off-Ball Disruptor,771.0,1.0,0.1167315175097276,37.07,14.0,1.634241245136187,1.0,0.1167315175097276,43.75,43.75,43.75,1.1673151750972763,27.54863813229572,77.6,77.6,-0.2955153588924805,-0.789250829539622,1.3464845852852576,0.3436055542146041,0.4178188701698055,-0.0348503429939488,-0.7004728798379746
jaime mata,la liga,getafe,Attacker,Off-Ball Disruptor,1791.0,5.0,0.2512562814070351,39.05,24.0,1.206030150753769,1.0,0.050251256281407,53.33,53.33,53.33,0.9045226130653268,23.71859296482412,65.3,65.3,-1.2405403945923936,-1.0147255733001654,-0.4089707590208504,-0.0177696117406954,0.7200077369189719,-0.7006352518807802,0.6102512946773305
sandro ramírez,la liga,las palmas,Attacker,Off-Ball Disruptor,1818.0,1.0,0.0495049504950495,47.24,37.0,1.8316831683168315,3.0,0.1485148514851485,46.81,46.81,46.81,1.584158415841584,29.306930693069305,74.8,74.8,0.8625267756588497,-1.127050122308891,0.1239898907844604,0.3670929035514218,-0.627045657611029,-0.1090075115871212,-0.8226298554595924
marc cardona,la liga,las palmas,Attacker,Pure Finisher,724.0,4.0,0.4972375690607734,42.15,20.0,2.4861878453038675,1.0,0.1243093922651933,42.42,42.42,42.42,0.9944751381215468,27.596685082872927,74.9,74.9,-0.0294045282084685,1.487094608671807,0.4820720563747454,0.4571723727602635,-0.2890917260493906,-0.0014787762896261,-0.0550426458092223
raúl de tomás,la liga,rayo vallecano,Attacker,Off-Ball Disruptor,1277.0,1.0,0.0704776820673453,41.49,27.0,1.9028974158183245,2.0,0.1409553641346906,51.28,51.28,51.28,0.5638214565387627,18.183241973375097,76.1,76.1,-0.93537964467926,-0.6078437949788229,-0.2343897618727769,1.0106487681459115,0.7342091850129238,0.7439181971489294,-1.2131669419342206
álvaro morata,la liga,atletico madrid,Attacker,Pure Finisher,1909.0,15.0,0.7071765322158199,50.22,60.0,2.8287061288632795,3.0,0.1414353064431639,51.52,51.52,51.52,0.7071765322158199,17.585123101100052,69.5,69.5,-0.2937077513033895,2.5048344241475387,-1.8341445919985817,0.7695999786535074,-0.2083492521399957,0.4178351525503206,0.4180906842975845
rubén sobrino,la liga,cadiz,Attacker,Off-Ball Disruptor,1648.0,0.0,0.0,45.15,12.0,0.6553398058252428,1.0,0.0546116504854368,41.03,41.03,41.03,1.2014563106796117,27.141990291262136,73.6,73.6,-0.5865839633785616,-2.5298867125072246,0.7231372582231874,0.472146159425841,-0.5513697427026623,0.0913745634765282,0.3457837876448159
chris ramos,la liga,cadiz,Attacker,Disruptive Presser,2626.0,5.0,0.1713632901751713,44.24,64.0,2.1934501142421934,1.0,0.0342726580350342,29.03,29.03,29.03,0.4798172124904798,16.03960396039604,56.4,56.4,-2.9818888187445105,0.0644243408744051,-1.0943489511527196,-0.8447797100515649,-1.7571435631671863,-0.0825350131292915,-0.5746036437755169
léo baptistão,la liga,almeria,Attacker,Disruptive Presser,1932.0,6.0,0.2795031055900621,45.6,39.0,1.816770186335404,0.0,0.0,46.15,46.15,46.15,0.8850931677018634,24.782608695652176,64.4,64.4,-1.1862978081458393,-0.3025262957600452,-0.7763507423123627,0.3777067995887334,-0.7592260731676415,-0.8468753234114723,0.3657700448078342
josé luis morales,la liga,villarreal,Attacker,Disruptive Presser,1037.0,7.0,0.6075216972034715,25.0,19.0,1.6489874638379944,0.0,0.0,29.03,29.03,29.03,0.4339440694310511,17.444551591128253,72.0,72.0,-3.368003101565181,1.507831264518266,2.186189958138628,-0.4722853686244148,1.0334679508389322,-0.1457133719551218,0.7240093277688625
andré silva,la liga,real sociedad,Attacker,Disruptive Presser,728.0,3.0,0.3708791208791209,29.17,15.0,1.8543956043956045,0.0,0.0,23.81,23.81,23.81,0.6181318681318682,19.78021978021978,81.2,81.2,-2.603763568171104,0.9051922487371556,2.9317860397962625,0.4340729106078863,0.2306153661511073,0.2631508905686002,-0.3760731781724618
juanmi,la liga,cadiz,Attacker,Off-Ball Disruptor,872.0,3.0,0.3096330275229358,30.33,12.0,1.2385321100917432,1.0,0.1032110091743119,40.91,40.91,40.91,1.135321100917431,22.912844036697244,80.1,80.1,-1.0687341359153988,-0.3068401482416532,2.1891810658173,0.041526504259313,1.4294374364288644,0.1408721503722784,0.0330921817486171
borja mayoral,la liga,getafe,Attacker,Pure Finisher,2164.0,15.0,0.6238447319778189,38.97,34.0,1.4140480591497229,1.0,0.0415896487985212,45.0,45.0,45.0,0.8317929759704252,22.12569316081331,75.6,75.6,-1.099186688633242,0.7960675006471957,0.734748304277172,0.6940271717164742,0.7388817051316043,0.0057744711373212,1.430508258228998
álex berenguer,la liga,athletic club,Attacker,Off-Ball Disruptor,1579.0,7.0,0.3989867004433186,35.63,21.0,1.1969601013299558,3.0,0.1709943001899936,37.93,37.93,37.93,1.8809373020899305,25.3641545281824,62.6,62.6,-0.5417042759300718,-0.3871252301455392,0.6022183281951864,-2.251913184257865,0.2406959460049339,-0.5943401291899199,0.8244820165513123
gorka guruzeta,la liga,athletic club,Attacker,Pure Finisher,2240.0,14.0,0.5625,42.82,46.0,1.8482142857142856,5.0,0.2008928571428571,59.38,59.38,59.37,1.0848214285714286,24.147321428571427,68.3,68.3,0.3213402916798379,0.7906529534483664,-1.0585749284792916,-0.1252820331169943,1.0909229509858878,0.0324619254025419,0.8353378861404477
nico williams,la liga,athletic club,Attacker,Creative Technician,2283.0,5.0,0.1971090670170827,45.45,38.0,1.4980289093298291,11.0,0.4336399474375821,47.73,47.73,47.73,1.8528252299605783,26.057818659658345,69.9,69.9,1.7525640796987916,-0.8471971975308307,-0.4759324057266278,-1.7690751890025302,0.332139408511076,1.444209570716313,-0.4427527031715222
luis rioja,la liga,alaves,Attacker,Off-Ball Disruptor,2515.0,5.0,0.1789264413518886,45.28,34.0,1.216699801192843,4.0,0.1431411530815109,63.08,63.08,63.08,1.502982107355865,23.439363817097416,64.4,64.4,0.2391138008914589,-1.5376842397235502,-1.5447929644883835,-0.2716127088380643,0.8356639557464343,-0.6429157806008442,0.3511787466912572
hugo duro,la liga,valencia,Attacker,Disruptive Presser,2997.0,13.0,0.3903903903903904,43.06,56.0,1.6816816816816815,2.0,0.06006006006006,36.11,36.11,36.11,0.4204204204204204,16.696696696696698,71.2,71.2,-2.0552673129792423,0.377999405159298,0.0100221845822825,0.5038032876328958,-0.3783591981107301,0.7418359133717025,0.3840651505162065
diego lópez,la liga,valencia,Attacker,Off-Ball Disruptor,2671.0,3.0,0.1010857356795207,41.64,28.0,0.943466866342194,6.0,0.2021714713590415,40.58,40.58,40.58,1.31411456383377,23.78884312991389,64.7,64.7,-0.6425023634333795,-1.7492920033968895,-0.0446995414030078,-1.3346979780188268,-0.1131510640392706,0.4463940318915463,0.1510857056368958
abdón prats,la liga,mallorca,Attacker,Disruptive Presser,1255.0,6.0,0.4302788844621513,42.11,25.0,1.792828685258964,1.0,0.0717131474103585,44.44,44.44,44.44,1.00398406374502,16.709163346613547,55.0,55.0,-1.99147953222728,0.323379237297777,-1.6066058470746156,-1.2698079771397686,-0.2332290300393344,-0.6946547581287179,0.672220402956275
ferran torres,la liga,barcelona,Attacker,Pure Finisher,1202.0,7.0,0.5241264559068219,41.49,25.0,1.8718801996672207,2.0,0.1497504159733777,45.45,45.45,45.45,1.9467554076539104,31.297836938435942,78.0,78.0,1.2749800491096297,0.7073888296467604,1.1251347533096347,-0.0663297786083446,0.1866265718031126,-0.4869866672029298,0.5820984639713228
raphinha,la liga,barcelona,Attacker,Creative Technician,1370.0,6.0,0.3941605839416058,53.33,47.0,3.0875912408759127,9.0,0.5912408759124088,55.81,55.81,55.81,2.6934306569343067,38.56204379562044,75.3,75.3,5.296747446838568,1.3113419154726058,-0.9160938505939304,-1.6076966847106138,-0.3997970580694341,1.146517470153924,-1.3047090212456731
lamine yamal,la liga,barcelona,Attacker,Creative Technician,2196.0,5.0,0.2049180327868852,56.4,44.0,1.8032786885245904,5.0,0.2049180327868852,54.26,54.26,54.26,1.5573770491803278,42.04918032786885,79.8,79.8,3.003452213619996,-0.9221450170958272,-0.0686949601007168,1.4058695190144368,-1.2346264476987645,0.2405962958403905,0.2164724230601389
gerard moreno,la liga,villarreal,Attacker,Creative Technician,2231.0,10.0,0.4034065441506051,47.84,44.0,1.7749887942626623,6.0,0.242043926490363,55.84,55.84,55.84,2.218735992828328,38.68668758404303,77.8,77.8,3.033451296472923,-0.1557644625828015,0.38205169241073,0.0524911693521839,0.02660637585086,-0.3834659950747923,0.5119265005859656
ilias akhomach,la liga,villarreal,Attacker,Off-Ball Disruptor,1512.0,2.0,0.119047619047619,46.62,17.0,1.011904761904762,2.0,0.119047619047619,49.57,49.57,49.57,1.25,26.369047619047617,77.3,77.3,0.2959264659760359,-1.739000735701071,0.2760842243976423,0.8711860584533756,0.086753228893742,0.3764600939615348,0.2340605265012343
vinícius júnior,la liga,real madrid,Attacker,Pure Finisher,1875.0,15.0,0.72,44.37,62.0,2.976,5.0,0.24,40.62,40.62,40.62,1.536,29.904,72.3,72.3,1.192475425465797,2.755636205189072,0.1230399699396866,-0.5987619101076405,-0.6208162028348759,0.0976299972686041,0.1585330605840048
rodrygo,la liga,real madrid,Attacker,Creative Technician,2390.0,10.0,0.3765690376569037,47.23,67.0,2.5230125523012554,5.0,0.1882845188284518,46.88,46.88,46.87,1.7322175732217573,36.18828451882845,87.7,87.7,2.4592666651106527,0.894700276023149,1.3555025080279817,1.3597051304076229,-0.4475847986010385,0.1582435839908652,-0.5795756993225647
jorge de frutos,la liga,rayo vallecano,Attacker,Disruptive Presser,1540.0,2.0,0.1168831168831168,45.34,23.0,1.344155844155844,0.0,0.0,37.5,37.5,37.5,0.9935064935064936,24.48701298701299,71.2,71.2,-1.2362623397409571,-1.272748374350268,0.3820936218833409,0.6046157664173943,-1.020318922260028,-0.2372097904017024,0.1020277053525351
iago aspas,la liga,celta vigo,Attacker,Creative Technician,2715.0,9.0,0.2983425414364641,48.84,61.0,2.022099447513812,10.0,0.3314917127071823,70.0,70.0,70.0,3.016574585635359,37.92265193370166,72.7,72.7,4.3295235779167305,-0.5476994211790693,-0.9014325466709084,-0.836718667439943,0.73918121001455,-1.0940323337515432,-0.2020040391671673
carlos vicente,la liga,alaves,Attacker,Off-Ball Disruptor,1119.0,2.0,0.1608579088471849,45.56,13.0,1.0455764075067024,4.0,0.3217158176943699,40.54,40.54,40.54,2.734584450402145,20.83109919571045,56.3,56.3,0.7478160882696112,-1.6975019409078087,-1.1524942577033896,-3.487812258468889,-0.4379532818721986,-0.0748531932256355,0.1373585561482045
mikel oyarzabal,la liga,real sociedad,Attacker,Disruptive Presser,2156.0,9.0,0.37569573283859,38.24,27.0,1.12708719851577,3.0,0.1252319109461966,36.0,36.0,36.0,0.8766233766233766,20.57977736549165,73.6,73.6,-1.379010680094929,-0.2754524677975,1.0209407601095206,-0.2373040313084645,0.323205510755041,0.7676669830173197,0.6885979092642651
gonçalo guedes,la liga,villarreal,Attacker,Creative Technician,948.0,3.0,0.2848101265822785,48.57,17.0,1.6139240506329111,2.0,0.1898734177215189,62.5,62.5,62.5,1.8037974683544304,28.48101265822785,76.6,76.6,1.87123893806272,-0.7115355911112249,-0.6350364589209115,0.6768116691176349,0.654827195130962,-0.1856400462541624,0.1624300156975338
sávio,la liga,girona,Attacker,Creative Technician,2992.0,9.0,0.2707219251336898,53.2,34.0,1.0227272727272727,10.0,0.3008021390374331,53.33,53.33,53.33,1.624331550802139,27.9144385026738,76.3,76.3,1.9757622254408664,-1.3297463937879146,-0.6236851181931341,0.1453942075189492,-0.0019604425951431,1.319568155524086,0.7098804590555582
